P,total_cost,charter,empty_fuel,cargo_fuel,penalty,voyage_h,late_plants,total_tardiness_h
0.00,224421.65,192024.39,21082.48,11314.78,0.00,384.05,1,55.05
0.10,231027.51,192024.39,21082.48,11314.78,6605.85,384.05,1,55.05
0.25,240936.29,192024.39,21082.48,11314.78,16514.64,384.05,1,55.05
0.50,257450.92,192024.39,21082.48,11314.78,33029.27,384.05,1,55.05
1.00,290480.19,192024.39,21082.48,11314.78,66058.54,384.05,1,55.05
2.00,356538.73,192024.39,21082.48,11314.78,132117.08,384.05,1,55.05
5.00,554714.36,192024.39,21082.48,11314.78,330292.70,384.05,1,55.05
10.00,885007.06,192024.39,21082.48,11314.78,660585.41,384.05,1,55.05
25.00,1875885.17,192024.39,21082.48,11314.78,1651463.52,384.05,1,55.05
100.00,6830275.72,192024.39,21082.48,11314.78,6605854.06,384.05,1,55.05
