P,total_cost,charter,empty_fuel,cargo_fuel,penalty,voyage_h,late_plants,total_tardiness_h
0.00,271127.96,231750.51,25360.01,14017.45,0.00,463.50,2,263.69
0.10,305905.58,231750.51,25360.01,14017.45,34777.62,463.50,2,263.69
0.25,358072.00,231750.51,25360.01,14017.45,86944.04,463.50,2,263.69
0.50,445016.05,231750.51,25360.01,14017.45,173888.09,463.50,2,263.69
1.00,618904.13,231750.51,25360.01,14017.45,347776.17,463.50,2,263.69
2.00,966680.30,231750.51,25360.01,14017.45,695552.34,463.50,2,263.69
5.00,2010008.81,231750.51,25360.01,14017.45,1738880.85,463.50,2,263.69
10.00,3748889.67,231750.51,25360.01,14017.45,3477761.71,463.50,2,263.69
25.00,8965532.23,231750.51,25360.01,14017.45,8694404.27,463.50,2,263.69
100.00,35048745.03,231750.51,25360.01,14017.45,34777617.07,463.50,2,263.69
