P,total_cost,charter,empty_fuel,cargo_fuel,penalty,voyage_h,late_plants,total_tardiness_h
0.00,226198.78,193111.62,21082.48,12004.68,0.00,386.22,1,87.22
0.10,236665.57,193111.62,21082.48,12004.68,10466.79,386.22,1,87.22
0.25,252365.75,193111.62,21082.48,12004.68,26166.97,386.22,1,87.22
0.50,278532.72,193111.62,21082.48,12004.68,52333.94,386.22,1,87.22
1.00,330866.66,193111.62,21082.48,12004.68,104667.88,386.22,1,87.22
2.00,435534.55,193111.62,21082.48,12004.68,209335.77,386.22,1,87.22
5.00,749538.20,193111.62,21082.48,12004.68,523339.42,386.22,1,87.22
10.00,1272877.61,193111.62,21082.48,12004.68,1046678.83,386.22,1,87.22
25.00,2842895.86,193111.62,21082.48,12004.68,2616697.08,386.22,1,87.22
100.00,10692987.09,193111.62,21082.48,12004.68,10466788.31,386.22,1,87.22
