# instance,rnd-n10-s2
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
10,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3353.80
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,2230.45,1440.28,3.9114,368.23
2,1046.82,676.79,1.7659,383.25
3,2130.53,1383.83,4.0832,338.91
4,2794.83,2122.76,5.1968,408.48
5,682.27,413.83,1.6186,255.67
6,2567.55,1825.22,5.6633,322.29
7,915.58,558.62,2.1363,261.48
8,681.02,471.31,1.6546,284.84
9,1504.97,1140.57,3.3398,341.51
10,2279.45,1698.00,4.8596,349.41
# distance matrix (nm), rows/cols 0..n+1
0.00,1093.31,1224.15,1180.91,488.48,1147.52,1031.76,136.48,573.27,679.35,336.79,0.00
1093.31,0.00,172.40,126.03,1024.70,57.02,488.89,993.06,677.12,427.13,1017.27,0.00
1224.15,172.40,0.00,216.33,1094.81,153.97,448.56,1114.47,753.11,580.37,1109.47,0.00
1180.91,126.03,216.33,0.00,1142.94,81.55,607.60,1088.48,795.73,502.95,1128.09,0.00
488.48,1024.70,1094.81,1142.94,0.00,1081.15,746.39,374.98,347.58,735.72,151.83,0.00
1147.52,57.02,153.97,81.55,1081.15,0.00,526.16,1048.63,733.60,477.46,1074.29,0.00
1031.76,488.89,448.56,607.60,746.39,526.16,0.00,899.61,463.78,598.29,810.58,0.00
136.48,993.06,1114.47,1088.48,374.98,1048.63,899.61,0.00,438.65,595.39,225.74,0.00
573.27,677.12,753.11,795.73,347.58,733.60,463.78,438.65,0.00,429.27,361.70,0.00
679.35,427.13,580.37,502.95,735.72,477.46,598.29,595.39,429.27,0.00,677.58,0.00
336.79,1017.27,1109.47,1128.09,151.83,1074.29,810.58,225.74,361.70,677.58,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
