# instance,rnd-n30-s3
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3585.13
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,1488.40,1082.78,3.4768,311.43
2,2262.67,1697.69,4.2319,401.17
3,873.28,593.14,1.7835,332.57
4,701.22,545.53,1.7467,312.31
5,2481.74,1857.49,5.4417,341.34
6,2524.29,1867.25,5.8040,321.72
7,2987.61,2156.79,5.1985,414.89
8,768.57,482.66,1.3269,363.76
9,491.64,313.78,1.0033,312.74
10,542.38,363.68,1.1013,330.24
11,519.32,325.26,1.0682,304.48
12,2548.77,1769.78,4.6895,377.39
13,1117.79,880.91,2.3266,378.62
14,2396.28,1761.39,5.8366,301.78
15,2806.95,2060.02,5.0198,410.38
16,2206.19,1472.91,5.0172,293.57
17,2180.39,1503.22,4.6296,324.70
18,600.22,437.33,1.3174,331.95
19,2013.32,1608.79,4.7097,341.59
20,1854.28,1462.02,3.3659,434.36
21,2769.07,2064.05,5.5791,369.96
22,1898.57,1504.39,3.8680,388.94
23,1007.48,801.71,1.8659,429.67
24,1117.03,816.16,2.7374,298.15
25,1278.66,974.81,2.6013,374.75
26,938.28,601.10,2.3033,260.98
27,2084.44,1301.82,3.8444,338.63
28,2205.25,1638.04,4.4656,366.81
29,822.78,568.05,1.5864,358.08
30,1135.00,712.64,2.5213,282.65
# distance matrix (nm), rows/cols 0..n+1
0.00,204.52,1094.93,934.70,141.35,1135.95,1217.23,653.70,211.83,313.24,617.27,494.38,1177.48,654.79,421.03,1167.03,528.96,399.78,596.34,756.91,758.65,683.01,575.03,138.25,881.62,395.53,601.61,764.63,967.42,125.12,1123.77,0.00
204.52,0.00,918.46,760.81,66.31,1027.20,1053.93,571.46,179.89,112.44,439.15,291.15,1039.59,552.95,236.10,1047.22,326.94,197.87,467.26,563.21,575.84,521.18,378.14,70.03,781.06,202.62,411.96,615.19,800.98,126.68,964.05,0.00
1094.93,918.46,0.00,160.74,981.48,493.69,177.45,621.16,904.59,853.28,479.84,726.86,327.31,565.83,682.41,439.07,626.98,794.70,541.69,383.40,344.09,417.42,558.74,966.04,501.59,717.24,795.86,365.90,148.50,971.29,150.19,0.00
934.70,760.81,160.74,0.00,823.08,486.46,301.62,484.64,743.89,700.37,321.66,586.28,370.75,424.56,524.78,452.37,481.05,646.81,386.32,251.69,192.66,257.07,410.88,806.75,412.39,560.94,674.54,217.11,66.93,810.83,225.85,0.00
141.35,66.31,981.48,823.08,0.00,1072.81,1114.13,606.66,181.90,171.90,501.69,353.14,1093.33,594.10,299.35,1096.02,393.16,258.44,516.01,629.05,639.78,579.83,444.25,35.48,823.38,267.68,463.77,670.87,861.58,98.28,1023.27,0.00
1135.95,1027.20,493.69,486.46,1072.81,0.00,397.51,486.51,924.33,1015.13,665.76,970.05,194.38,481.64,826.17,74.63,858.89,995.58,560.72,700.48,613.55,556.67,792.50,1044.14,255.09,868.86,1099.12,450.60,422.44,1017.35,350.79,0.00
1217.23,1053.93,177.45,301.62,1114.13,397.51,0.00,670.30,1016.53,999.64,617.32,887.36,204.74,626.46,819.37,328.65,782.67,948.20,633.90,547.96,494.21,535.13,712.46,1095.05,495.40,857.42,967.12,456.29,253.16,1092.17,96.73,0.00
653.70,571.46,621.16,484.64,606.66,486.51,670.30,0.00,443.98,589.33,365.60,611.46,564.42,65.35,422.21,526.48,517.93,598.97,172.43,509.17,432.40,297.09,475.58,574.85,231.70,460.58,770.23,270.69,472.96,539.62,574.88,0.00
211.83,179.89,904.59,743.89,181.90,924.33,1016.53,443.98,0.00,268.27,438.55,415.08,967.69,442.99,268.28,955.24,404.59,337.35,387.97,595.98,580.53,487.62,429.83,146.49,670.31,261.42,562.05,560.88,770.53,96.85,921.70,0.00
313.24,112.44,853.28,700.37,171.90,1015.13,999.64,589.33,268.27,0.00,383.50,181.46,1006.27,558.85,190.31,1027.15,236.01,86.54,457.88,482.67,509.47,479.51,297.35,182.42,779.48,148.02,301.17,581.43,747.14,236.48,913.90,0.00
617.27,439.15,479.84,321.66,501.69,665.76,617.32,365.60,438.55,383.50,0.00,304.52,629.22,305.04,203.13,664.83,193.14,341.41,194.28,170.92,142.39,109.15,128.36,486.44,465.09,240.14,439.22,215.28,364.29,495.31,530.47,0.00
494.38,291.15,726.86,586.28,353.14,970.05,887.36,611.46,415.08,181.46,304.52,0.00,927.22,564.60,198.64,968.88,111.71,95.30,449.68,343.76,395.25,413.43,181.40,360.76,759.49,173.40,163.77,519.77,642.33,408.03,810.08,0.00
1177.48,1039.59,327.31,370.75,1093.33,194.38,204.74,564.42,967.69,1006.27,629.22,927.22,0.00,537.10,816.86,123.92,816.27,970.58,581.37,615.40,539.31,527.02,745.85,1068.96,350.55,858.50,1035.08,425.65,304.20,1053.71,177.14,0.00
654.79,552.95,565.83,424.56,594.10,481.64,626.46,65.35,442.99,558.85,305.04,564.60,537.10,0.00,382.39,513.13,466.47,560.17,116.36,444.49,367.09,232.08,419.73,564.22,229.37,422.80,720.33,208.55,417.34,535.72,530.08,0.00
421.03,236.10,682.41,524.78,299.35,826.17,819.37,422.21,268.28,190.31,203.13,198.64,816.86,382.39,0.00,836.98,143.00,177.78,273.94,336.70,340.50,291.16,161.83,286.37,595.12,42.70,362.38,391.52,566.22,304.00,730.84,0.00
1167.03,1047.22,439.07,452.37,1096.02,74.63,328.65,526.48,955.24,1027.15,664.83,968.88,123.92,513.13,836.98,0.00,857.19,1001.39,580.27,681.01,597.45,557.01,788.79,1068.82,296.41,879.55,1090.21,450.73,386.13,1046.13,291.52,0.00
528.96,326.94,626.98,481.05,393.16,858.89,782.67,517.93,404.59,236.01,193.14,111.71,816.27,466.47,143.00,857.19,0.00,168.01,350.21,248.61,288.60,302.23,70.95,390.72,652.26,143.45,254.26,408.40,534.77,423.74,702.86,0.00
399.78,197.87,794.70,646.81,258.44,995.58,948.20,598.97,337.35,86.54,341.41,95.30,970.58,560.17,177.78,1001.39,168.01,0.00,450.77,416.21,454.18,445.53,236.29,267.86,770.60,138.42,224.70,551.03,698.16,318.65,866.17,0.00
596.34,467.26,541.69,386.32,516.01,560.72,633.90,172.43,387.97,457.88,194.28,449.68,581.37,116.36,273.94,580.27,350.21,450.77,0.00,348.05,281.74,146.43,303.95,489.65,321.80,315.79,604.23,178.99,397.69,472.35,537.84,0.00
756.91,563.21,383.40,251.69,629.05,700.48,547.96,509.17,595.98,482.67,170.92,343.76,615.40,444.49,336.70,681.01,248.61,416.21,348.05,0.00,90.47,212.74,186.02,620.45,549.92,362.11,422.90,282.04,314.37,640.63,477.40,0.00
758.65,575.84,344.09,192.66,639.78,613.55,494.21,432.40,580.53,509.47,142.39,395.25,539.31,367.09,340.50,597.45,288.60,454.18,281.74,90.47,0.00,136.97,218.26,626.32,459.73,373.78,495.99,192.47,247.12,637.33,414.86,0.00
683.01,521.18,417.42,257.07,579.83,556.67,535.13,297.09,487.62,479.51,109.15,413.43,527.02,232.08,291.16,557.01,302.23,445.53,146.43,212.74,136.97,0.00,236.90,560.01,360.55,332.12,546.94,106.48,284.43,558.22,443.46,0.00
575.03,378.14,558.74,410.88,444.25,792.50,712.46,475.58,429.83,297.35,128.36,181.40,745.85,419.73,161.83,788.79,70.95,236.29,303.95,186.02,218.26,236.90,0.00,437.46,592.82,179.69,310.97,342.02,463.96,462.72,632.07,0.00
138.25,70.03,966.04,806.75,35.48,1044.14,1095.05,574.85,146.49,182.42,486.44,360.76,1068.96,564.22,286.37,1068.82,390.72,267.86,489.65,620.45,626.32,560.01,437.46,0.00,793.59,258.42,480.81,648.37,843.18,65.46,1003.29,0.00
881.62,781.06,501.59,412.39,823.38,255.09,495.40,231.70,670.31,779.48,465.09,759.49,350.55,229.37,595.12,296.41,652.26,770.60,321.80,549.92,459.73,360.55,592.82,793.59,0.00,637.27,903.66,268.45,370.43,764.16,408.89,0.00
395.53,202.62,717.24,560.94,267.68,868.86,857.42,460.58,261.42,148.02,240.14,173.40,858.50,422.80,42.70,879.55,143.45,138.42,315.79,362.11,373.78,332.12,179.69,258.42,637.27,0.00,336.05,433.44,604.32,283.74,769.83,0.00
601.61,411.96,795.86,674.54,463.77,1099.12,967.12,770.23,562.05,301.17,439.22,163.77,1035.08,720.33,362.38,1090.21,254.26,224.70,604.23,422.90,495.99,546.94,310.97,480.81,903.66,336.05,0.00,650.44,736.94,537.52,900.06,0.00
764.63,615.19,365.90,217.11,670.87,450.60,456.29,270.69,560.88,581.43,215.28,519.77,425.65,208.55,391.52,450.73,408.40,551.03,178.99,282.04,192.47,106.48,342.02,648.37,268.45,433.44,650.44,0.00,219.67,639.56,360.92,0.00
967.42,800.98,148.50,66.93,861.58,422.44,253.16,472.96,770.53,747.14,364.29,642.33,304.20,417.34,566.22,386.13,534.77,698.16,397.69,314.37,247.12,284.43,463.96,843.18,370.43,604.32,736.94,219.67,0.00,842.65,168.13,0.00
125.12,126.68,971.29,810.83,98.28,1017.35,1092.17,539.62,96.85,236.48,495.31,408.03,1053.71,535.72,304.00,1046.13,423.74,318.65,472.35,640.63,637.33,558.22,462.72,65.46,764.16,283.74,537.52,639.56,842.65,0.00,998.65,0.00
1123.77,964.05,150.19,225.85,1023.27,350.79,96.73,574.88,921.70,913.90,530.47,810.08,177.14,530.08,730.84,291.52,702.86,866.17,537.84,477.40,414.86,443.46,632.07,1003.29,408.89,769.83,900.06,360.92,168.13,998.65,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
