# instance,rnd-n30-s2
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3551.23
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,584.56,420.58,1.1432,367.90
2,1999.88,1216.31,3.4418,353.40
3,1581.80,1202.23,3.3029,363.99
4,1408.97,1051.80,2.6471,397.34
5,2291.13,1375.12,4.5253,303.88
6,2713.29,1969.68,5.7482,342.66
7,941.78,736.46,1.8899,389.68
8,1322.09,864.60,2.4123,358.41
9,2384.33,1684.27,4.2374,397.48
10,619.82,393.42,1.1841,332.24
11,797.20,540.33,1.5424,350.31
12,2692.96,2100.07,5.3296,394.04
13,2501.21,1687.84,5.4197,311.43
14,1681.80,1302.69,3.0699,424.35
15,2504.87,1666.90,5.5197,301.99
16,2932.58,1800.00,5.5293,325.54
17,967.13,770.37,2.0837,369.71
18,2959.36,1788.16,5.7979,308.42
19,2355.18,1677.74,3.9552,424.18
20,963.73,680.69,2.2940,296.72
21,799.96,569.49,1.7994,316.49
22,1839.58,1328.86,3.8362,346.40
23,2441.22,1632.65,5.0306,324.54
24,2075.42,1525.93,4.3390,351.68
25,2223.70,1775.52,5.1133,347.23
26,944.24,607.37,2.0320,298.90
27,583.07,386.27,1.0763,358.89
28,662.71,430.62,1.3756,313.04
29,802.50,565.73,1.6033,352.85
30,553.41,414.47,1.0804,383.61
# distance matrix (nm), rows/cols 0..n+1
0.00,1093.31,1224.15,1180.91,488.48,1147.52,1031.76,136.48,573.27,679.35,336.79,1056.87,517.74,298.54,777.91,1116.12,979.39,559.03,1274.59,815.97,513.77,609.02,811.38,462.84,937.39,967.59,524.75,552.33,857.23,594.40,684.69,0.00
1093.31,0.00,172.40,126.03,1024.70,57.02,488.89,993.06,677.12,427.13,1017.27,107.19,936.27,794.85,351.34,299.48,124.68,1009.75,420.95,496.54,948.14,1001.78,661.50,781.51,156.04,312.13,568.68,945.67,521.86,957.12,443.57,0.00
1224.15,172.40,0.00,216.33,1094.81,153.97,448.56,1114.47,753.11,580.37,1109.47,167.32,1002.70,928.37,451.46,229.57,250.43,1068.87,285.74,530.89,1014.96,1052.78,679.07,868.39,307.35,323.20,702.53,1006.16,538.48,1010.43,547.44,0.00
1180.91,126.03,216.33,0.00,1142.94,81.55,607.60,1088.48,795.73,502.95,1128.09,229.93,1055.83,883.11,467.62,405.64,244.50,1130.71,499.19,622.38,1067.55,1124.33,787.53,895.92,255.66,436.65,660.47,1066.56,647.81,1079.39,556.06,0.00
488.48,1024.70,1094.81,1142.94,0.00,1081.15,746.39,374.98,347.58,735.72,151.83,945.98,93.48,479.41,675.34,911.52,900.39,73.91,1031.46,572.12,81.17,125.92,471.64,256.30,891.17,776.98,569.32,103.56,583.83,129.71,590.27,0.00
1147.52,57.02,153.97,81.55,1081.15,0.00,526.16,1048.63,733.60,477.46,1074.29,150.85,992.46,848.98,408.28,324.89,181.60,1065.50,427.00,548.29,1004.36,1056.86,711.65,838.46,210.38,357.56,623.24,1001.47,571.06,1012.35,500.59,0.00
1031.76,488.89,448.56,607.60,746.39,526.16,0.00,899.61,463.78,598.29,810.58,381.84,654.16,780.35,365.42,219.35,414.93,700.62,288.38,216.78,666.15,670.96,277.26,584.84,465.45,193.04,603.69,645.26,175.93,635.61,411.30,0.00
136.48,993.06,1114.47,1088.48,374.98,1048.63,899.61,0.00,438.65,595.39,225.74,948.00,391.05,216.06,663.99,993.51,874.92,441.20,1148.59,684.91,388.49,488.93,675.10,326.50,838.49,844.82,428.16,426.60,724.37,469.53,568.79,0.00
573.27,677.12,753.11,795.73,347.58,733.60,463.78,438.65,0.00,429.27,361.70,600.01,260.42,362.15,328.42,587.32,552.83,338.01,727.70,254.86,271.99,340.32,246.58,123.11,545.54,443.90,297.59,274.24,287.86,294.51,248.09,0.00
679.35,427.13,580.37,502.95,735.72,477.46,598.29,595.39,429.27,0.00,677.58,419.63,665.83,383.62,232.97,554.64,330.99,748.84,724.56,436.50,675.28,761.70,574.54,480.93,274.23,433.84,175.21,688.87,491.94,716.75,219.60,0.00
336.79,1017.27,1109.47,1128.09,151.83,1074.29,810.58,225.74,361.70,677.58,0.00,950.86,193.06,363.60,667.02,948.90,893.02,222.54,1085.40,613.13,186.13,273.22,550.04,241.50,872.49,805.40,503.10,224.03,637.74,263.48,573.70,0.00
1056.87,107.19,167.32,229.93,945.98,150.85,381.84,948.00,600.01,419.63,950.86,0.00,855.48,761.08,286.89,201.42,90.00,925.83,343.86,399.94,867.58,914.39,561.57,711.13,155.49,206.85,535.39,862.15,420.61,870.53,382.84,0.00
517.74,936.27,1002.70,1055.83,93.48,992.46,654.16,391.05,260.42,665.83,193.06,855.48,0.00,451.29,588.80,818.08,812.37,83.27,938.52,478.76,12.34,110.16,380.86,186.44,805.92,684.04,506.29,36.15,490.50,79.45,506.87,0.00
298.54,794.85,928.37,883.11,479.41,848.98,780.35,216.06,362.15,383.62,363.60,761.08,451.29,0.00,487.98,834.96,681.88,525.65,999.13,564.96,454.80,561.38,606.96,298.76,638.89,688.29,226.65,485.85,614.25,527.11,398.87,0.00
777.91,351.34,451.46,467.62,675.34,408.28,365.42,663.99,328.42,232.97,667.02,286.89,588.80,487.98,0.00,351.92,226.68,665.10,520.73,219.75,600.40,662.19,379.13,430.18,218.04,212.92,271.53,600.99,271.00,616.65,96.03,0.00
1116.12,299.48,229.57,405.64,911.52,324.89,219.35,993.51,587.32,554.64,948.90,201.42,818.08,834.96,351.92,0.00,269.57,876.45,170.47,339.76,830.40,854.21,466.73,709.36,334.90,148.70,623.36,816.18,332.08,814.45,436.14,0.00
979.39,124.68,250.43,244.50,900.39,181.60,414.93,874.92,552.83,330.99,893.02,90.00,812.37,681.88,226.68,269.57,0.00,886.55,425.40,383.81,824.18,879.83,551.47,656.86,67.41,223.75,455.29,822.42,415.56,834.90,319.47,0.00
559.03,1009.75,1068.87,1130.71,73.91,1065.50,700.62,441.20,338.01,748.84,222.54,925.83,83.27,525.65,665.10,876.45,886.55,0.00,988.04,540.02,75.10,52.01,423.52,269.69,882.90,747.50,589.50,64.16,545.22,66.07,585.85,0.00
1274.59,420.95,285.74,499.19,1031.46,427.00,288.38,1148.59,727.70,724.56,1085.40,343.86,938.52,999.13,520.73,170.47,425.40,988.04,0.00,473.05,950.66,959.23,565.28,850.80,492.65,311.21,791.53,931.52,449.43,923.37,601.53,0.00
815.97,496.54,530.89,622.38,572.12,548.29,216.78,684.91,254.86,436.50,613.13,399.94,478.76,564.96,219.75,339.76,383.81,540.02,473.05,0.00,491.10,522.01,168.38,377.91,405.74,207.98,402.16,478.45,56.56,480.13,222.67,0.00
513.77,948.14,1014.96,1067.55,81.17,1004.36,666.15,388.49,271.99,675.28,186.13,867.58,12.34,454.80,600.40,830.40,824.18,75.10,950.66,491.10,0.00,107.01,392.53,195.11,817.39,696.36,514.69,38.59,502.74,81.05,518.05,0.00
609.02,1001.78,1052.78,1124.33,125.92,1056.86,670.96,488.93,340.32,761.70,273.22,914.39,110.16,561.38,662.19,854.21,879.83,52.01,959.23,522.01,107.01,0.00,394.02,289.78,880.18,729.99,608.20,77.14,522.13,45.83,587.76,0.00
811.38,661.50,679.07,787.53,471.64,711.65,277.26,675.10,246.58,574.54,550.04,561.57,380.86,606.96,379.13,466.73,551.47,423.52,565.28,168.38,392.53,394.02,0.00,348.61,573.96,359.39,498.23,369.35,141.64,358.37,355.10,0.00
462.84,781.51,868.39,895.92,256.30,838.46,584.84,326.50,123.11,480.93,241.50,711.13,186.44,298.76,430.18,709.36,656.86,269.69,850.80,377.91,195.11,289.78,348.61,0.00,641.57,564.63,319.89,213.40,409.12,247.97,339.96,0.00
937.39,156.04,307.35,255.66,891.17,210.38,465.45,838.49,545.54,274.23,872.49,155.49,805.92,638.89,218.04,334.90,67.41,882.90,492.65,405.74,817.39,880.18,573.96,641.57,0.00,272.41,412.91,818.83,444.22,834.67,301.71,0.00
967.59,312.13,323.20,436.65,776.98,357.56,193.04,844.82,443.90,433.84,805.40,206.85,684.04,688.29,212.92,148.70,223.75,747.50,311.21,207.98,696.36,729.99,359.39,564.63,272.41,0.00,481.35,685.43,217.76,688.06,290.33,0.00
