# instance,rnd-n30-s9
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3690.01
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,1079.72,655.83,1.8125,361.83
2,1004.15,774.63,2.1328,363.19
3,948.94,636.70,1.5898,400.50
4,1352.86,937.15,2.7428,341.68
5,2550.23,1609.62,4.6060,349.46
6,631.70,427.95,1.3616,314.29
7,1768.82,1275.52,3.2838,388.43
8,2687.05,2064.63,5.4723,377.29
9,2063.25,1561.03,3.6629,426.18
10,3075.01,1932.52,5.2725,366.53
11,768.18,546.71,1.3266,412.12
12,1728.88,1105.93,3.2885,336.30
13,655.92,472.74,1.3965,338.53
14,1533.99,1134.82,3.5046,323.81
15,2073.08,1281.65,5.0205,255.28
16,2611.05,1582.13,4.8969,323.09
17,2744.19,1696.20,5.0880,333.38
18,767.54,592.78,1.5126,391.88
19,1234.60,822.44,2.2539,364.89
20,1874.32,1143.32,4.0845,279.92
21,1397.27,950.60,3.3762,281.56
22,1690.85,1170.91,4.1861,279.71
23,2539.84,1690.16,5.2185,323.88
24,870.35,595.96,1.7219,346.12
25,1136.73,683.77,2.4805,275.66
26,2178.39,1339.03,5.0154,266.99
27,834.09,538.15,1.5255,352.77
28,2224.20,1496.57,5.3653,278.94
29,708.35,527.63,1.4168,372.42
30,829.32,512.00,1.9298,265.32
# distance matrix (nm), rows/cols 0..n+1
0.00,938.06,731.74,482.28,751.15,1132.32,411.24,567.67,351.80,750.09,547.54,602.60,1168.74,866.86,1014.97,588.89,1067.09,544.24,992.59,721.37,163.65,589.16,1232.31,274.92,742.33,290.75,1103.94,1110.17,438.01,488.82,324.21,0.00
938.06,0.00,207.50,457.49,234.79,216.40,820.22,489.93,645.23,566.60,928.91,549.31,403.55,417.25,372.07,785.80,140.91,587.03,124.12,520.91,803.65,795.37,411.77,835.72,674.88,714.76,166.03,216.42,745.86,657.51,843.62,0.00
731.74,207.50,0.00,254.59,107.80,405.09,630.53,313.24,441.56,454.57,754.21,389.77,513.22,368.90,412.47,623.61,343.35,413.82,287.72,400.69,596.18,632.90,551.00,633.57,553.38,509.93,373.43,389.53,558.94,476.17,645.26,0.00
482.28,457.49,254.59,0.00,302.04,659.64,479.43,274.35,253.37,496.71,633.37,363.75,742.35,508.88,612.81,544.25,584.81,347.33,511.86,444.08,361.17,551.79,791.51,436.08,561.18,306.09,622.81,642.79,424.33,371.89,463.08,0.00
751.15,234.79,107.80,302.04,0.00,387.60,587.55,255.67,428.50,356.63,694.27,316.02,440.40,261.24,319.54,553.03,374.96,352.24,344.35,304.87,602.59,562.56,490.80,613.39,459.95,499.67,387.46,360.89,512.52,423.22,616.40,0.00
1132.32,216.40,405.09,659.64,387.60,0.00,960.33,629.62,816.04,632.75,1043.62,665.58,260.03,447.87,323.09,889.66,175.97,715.39,260.54,600.91,988.46,899.12,230.08,998.94,739.97,887.25,114.50,45.98,884.11,791.78,998.42,0.00
411.24,820.22,630.53,479.43,587.55,960.33,0.00,332.84,228.77,407.31,165.31,301.75,908.07,575.64,742.47,181.20,961.12,246.16,917.47,402.24,279.96,180.06,986.30,136.41,361.44,202.28,974.61,925.18,76.24,168.84,88.40,0.00
567.67,489.93,313.24,274.35,255.67,629.62,332.84,0.00,216.27,226.85,442.17,91.31,609.32,299.48,450.06,311.65,630.48,100.59,593.48,178.61,405.41,320.78,679.91,375.54,287.40,283.05,641.94,596.28,257.27,167.60,369.75,0.00
351.80,645.23,441.56,253.37,428.50,816.04,228.77,216.27,0.00,408.66,389.19,256.36,822.75,515.09,665.59,331.94,784.09,202.93,727.12,373.96,189.14,337.23,890.41,192.60,424.09,71.29,808.43,787.84,185.22,172.36,211.69,0.00
750.09,566.60,454.57,496.71,356.63,632.75,407.31,226.85,408.66,0.00,432.92,153.42,518.45,191.00,354.82,274.89,694.04,206.81,687.78,55.54,587.45,283.47,601.75,507.72,109.20,460.29,683.65,590.13,341.28,265.10,479.92,0.00
547.54,928.91,754.21,633.37,694.27,1043.62,165.31,442.17,389.19,432.92,0.00,381.61,951.37,621.26,787.35,158.18,1068.25,342.58,1035.47,449.00,436.25,149.45,1034.47,284.67,349.80,367.58,1073.43,1004.46,209.07,278.81,232.69,0.00
602.60,549.31,389.77,363.75,316.02,665.58,301.75,91.31,256.36,153.42,381.61,0.00,608.42,279.34,443.57,237.03,687.62,61.13,660.11,118.78,439.09,246.56,685.29,376.53,197.52,311.84,691.82,628.27,226.74,135.93,358.23,0.00
1168.74,403.55,513.22,742.35,440.40,260.03,908.07,609.32,822.75,518.45,951.37,608.42,0.00,333.38,165.77,793.30,426.83,667.95,494.79,508.42,1010.24,801.92,86.07,980.43,610.67,891.63,371.71,222.17,834.46,744.34,966.20,0.00
866.86,417.25,368.90,508.88,261.24,447.87,575.64,299.48,515.09,191.00,621.26,279.34,333.38,0.00,167.67,463.16,530.08,340.16,541.37,175.07,704.05,472.08,414.32,655.51,294.12,579.53,510.21,403.88,503.00,414.64,637.23,0.00
1014.97,372.07,412.47,612.81,319.54,323.09,742.47,450.06,665.59,354.82,787.35,443.57,165.77,167.67,0.00,629.18,448.33,503.55,488.04,342.74,854.32,637.93,247.16,817.39,451.22,733.10,410.98,277.11,669.12,579.47,801.71,0.00
588.89,785.80,623.61,544.25,553.03,889.66,181.20,311.65,331.94,274.89,158.18,237.03,793.30,463.16,629.18,0.00,923.27,212.08,897.12,291.72,445.96,9.59,876.30,314.86,198.29,340.72,924.58,849.64,158.49,172.69,269.40,0.00
1067.09,140.91,343.35,584.81,374.96,175.97,961.12,630.48,784.09,694.04,1068.25,687.62,426.83,530.08,448.33,923.27,0.00,726.97,96.00,651.52,937.92,932.86,405.68,975.28,803.15,853.02,65.17,205.49,886.69,798.08,984.07,0.00
544.24,587.03,413.82,347.33,352.24,715.39,246.16,100.59,202.93,206.81,342.58,61.13,667.95,340.16,503.55,212.08,726.97,0.00,692.94,178.39,381.12,221.04,743.89,315.47,227.89,253.81,735.30,679.52,170.13,77.61,298.26,0.00
992.59,124.12,287.72,511.86,344.35,260.54,917.47,593.48,727.12,687.78,1035.47,660.11,494.79,541.37,488.04,897.12,96.00,692.94,0.00,640.57,870.52,906.64,485.13,919.64,795.38,793.95,158.94,281.17,844.98,759.78,932.74,0.00
721.37,520.91,400.69,444.08,304.87,600.91,402.24,178.61,373.96,55.54,449.00,118.78,508.42,175.07,342.74,291.72,651.52,178.39,640.57,0.00,557.84,300.94,589.18,490.73,155.39,430.62,644.81,559.76,331.27,246.74,467.95,0.00
163.65,803.65,596.18,361.17,602.59,988.46,279.96,405.41,189.14,587.45,436.25,439.09,1010.24,704.05,854.32,445.96,937.92,381.12,870.52,557.84,0.00,447.74,1076.12,152.31,584.92,127.33,969.41,963.44,288.98,328.80,203.78,0.00
589.16,795.37,632.90,551.79,562.56,899.12,180.06,320.78,337.23,283.47,149.45,246.56,801.92,472.08,637.93,9.59,932.86,221.04,906.64,300.94,447.74,0.00,885.03,314.71,205.05,344.22,934.16,859.06,161.48,180.00,268.43,0.00
1232.31,411.77,551.00,791.51,490.80,230.08,986.30,679.91,890.41,601.75,1034.47,685.29,86.07,414.32,247.16,876.30,405.68,743.89,485.13,589.18,1076.12,885.03,0.00,1053.77,695.66,960.26,344.41,204.00,911.94,820.92,1041.72,0.00
274.92,835.72,633.57,436.08,613.39,998.94,136.41,375.54,192.60,507.72,284.67,376.53,980.43,655.51,817.39,314.86,975.28,315.47,919.64,490.73,152.31,314.71,1053.77,0.00,480.75,130.05,997.56,968.17,171.68,244.14,52.08,0.00
742.33,674.88,553.38,561.18,459.95,739.97,361.44,287.40,424.09,109.20,349.80,197.52,610.67,294.12,451.22,198.29,803.15,227.89,795.38,155.39,584.92,205.05,695.66,480.75,0.00,461.98,792.74,696.80,309.10,257.23,444.00,0.00
290.75,714.76,509.93,306.09,499.67,887.25,202.28,283.05,71.29,460.29,367.58,311.84,891.63,579.53,733.10,340.72,853.02,253.81,793.95,430.62,127.33,344.22,960.26,130.05,461.98,0.00,878.51,859.13,183.02,204.76,160.46,0.00
1103.94,166.03,373.43,622.81,387.46,114.50,974.61,641.94,808.43,683.65,1073.43,691.82,371.71,510.21,410.98,924.58,65.17,735.30,158.94,644.81,969.41,934.16,344.41,997.56,792.74,878.51,0.00,149.75,899.21,808.79,1003.08,0.00
1110.17,216.42,389.53,642.79,360.89,45.98,925.18,596.28,787.84,590.13,1004.46,628.27,222.17,403.88,277.11,849.64,205.49,679.52,281.17,559.76,963.44,859.06,204.00,968.17,696.80,859.13,149.75,0.00,848.94,756.39,965.86,0.00
438.01,745.86,558.94,424.33,512.52,884.11,76.24,257.27,185.22,341.28,209.07,226.74,834.46,503.00,669.12,158.49,886.69,170.13,844.98,331.27,288.98,161.48,911.94,171.68,309.10,183.02,899.21,848.94,0.00,92.65,138.72,0.00
488.82,657.51,476.17,371.89,423.22,791.78,168.84,167.60,172.36,265.10,278.81,135.93,744.34,414.64,579.47,172.69,798.08,77.61,759.78,246.74,328.80,180.00,820.92,244.14,257.23,204.76,808.79,756.39,92.65,0.00,222.58,0.00
324.21,843.62,645.26,463.08,616.40,998.42,88.40,369.75,211.69,479.92,232.69,358.23,966.20,637.23,801.71,269.40,984.07,298.26,932.74,467.95,203.78,268.43,1041.72,52.08,444.00,160.46,1003.08,965.86,138.72,222.58,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
