# instance,rnd-n30-s1
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3980.36
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,1451.29,1078.98,3.1439,343.20
2,2568.35,1629.69,5.8121,280.40
3,1913.92,1373.36,3.7448,366.74
4,2669.83,1711.17,4.9460,345.97
5,1263.70,815.09,2.2745,358.35
6,3316.97,2544.99,5.9155,430.22
7,957.68,576.29,1.8155,317.42
8,1835.25,1424.28,4.1559,342.71
9,2470.22,1733.84,4.5352,382.31
10,2556.12,1896.94,5.9355,319.59
11,2174.60,1573.08,5.1199,307.25
12,1431.74,1035.76,3.4093,303.80
13,591.16,363.33,1.1406,318.54
14,734.43,481.79,1.3702,351.61
15,2291.06,1536.77,4.0199,382.29
16,1830.54,1419.20,3.9932,355.41
17,2288.14,1544.86,4.7212,327.21
18,1286.55,1000.10,2.3565,424.41
19,598.95,462.68,1.2185,379.71
20,2272.71,1710.81,5.5096,310.51
21,1882.59,1152.86,3.1385,367.33
22,2018.72,1478.52,3.9316,376.06
23,2487.49,1616.12,5.5364,291.91
24,2119.98,1529.50,4.5343,337.32
25,1043.46,720.20,2.5771,279.46
26,1402.25,891.06,2.8457,313.13
27,2379.18,1781.23,4.3806,406.62
28,2924.26,2131.20,5.6455,377.50
29,861.49,569.70,1.5524,366.97
30,2842.41,2233.50,5.4030,413.38
# distance matrix (nm), rows/cols 0..n+1
0.00,534.31,642.40,45.32,1119.40,1116.92,573.27,759.91,1081.82,300.82,429.46,987.23,886.97,253.41,739.75,376.09,339.57,643.11,834.12,312.70,469.33,463.09,105.01,834.29,962.44,267.29,690.05,685.36,1237.76,1115.86,676.75,0.00
534.31,0.00,327.21,493.54,635.41,630.32,213.57,286.01,564.92,301.17,383.35,465.24,456.02,315.09,218.11,258.83,273.14,523.89,366.10,241.62,304.20,275.46,445.96,300.51,466.12,282.34,222.96,241.72,708.04,591.22,164.86,0.00
642.40,327.21,0.00,597.34,848.24,840.36,115.11,213.49,525.63,342.46,251.52,631.98,258.06,393.33,300.87,268.75,305.18,236.82,248.45,471.37,177.09,179.36,537.41,447.14,385.39,489.40,185.04,151.79,811.77,730.09,260.84,0.00
45.32,493.54,597.34,0.00,1086.91,1084.14,528.00,715.16,1037.95,255.55,387.36,949.66,841.65,208.14,696.81,330.79,294.26,603.16,789.12,278.59,424.74,418.07,59.96,793.93,917.83,233.69,645.41,640.38,1198.94,1078.03,633.51,0.00
1119.40,635.41,848.24,1086.91,0.00,10.43,775.69,650.11,546.91,935.36,1005.33,225.59,757.96,942.42,547.36,892.99,908.54,1084.70,667.07,808.36,916.16,890.42,1052.15,401.54,609.95,853.24,663.20,696.75,284.53,203.24,593.70,0.00
1116.92,630.32,840.36,1084.14,10.43,0.00,768.63,641.55,536.50,930.58,999.11,216.31,748.39,938.17,539.52,887.58,903.46,1076.92,657.85,805.55,909.71,884.10,1048.91,393.47,599.94,850.52,655.32,688.80,275.78,192.92,586.43,0.00
573.27,213.57,115.11,528.00,775.69,768.63,0.00,198.93,531.57,275.38,247.07,570.02,315.15,319.87,239.20,200.53,235.79,321.43,264.69,366.48,154.32,137.37,469.38,382.78,399.70,389.50,138.28,119.98,775.25,679.90,183.13,0.00
759.91,286.01,213.49,715.16,650.11,641.55,198.93,0.00,332.65,469.01,439.13,427.90,174.67,508.89,121.42,396.08,429.67,446.18,80.53,511.12,348.81,335.30,658.30,251.37,203.15,544.53,70.53,78.96,598.31,518.76,129.48,0.00
1081.82,564.92,525.63,1037.95,546.91,536.50,531.57,332.65,0.00,798.67,768.06,350.05,303.30,835.35,347.25,727.21,759.77,731.66,277.37,806.35,679.76,667.58,983.08,317.21,141.09,845.80,397.71,411.60,358.08,350.27,406.94,0.00
300.82,301.17,342.46,255.55,935.36,930.58,275.38,469.01,798.67,0.00,170.32,763.90,586.81,53.38,470.60,75.51,39.60,389.82,539.39,215.22,174.85,163.97,195.91,589.36,672.04,203.40,401.27,391.75,999.24,887.63,405.80,0.00
429.46,383.35,251.52,387.36,1005.33,999.11,247.07,439.13,768.06,170.32,0.00,809.77,509.32,219.63,484.35,142.20,156.52,222.12,492.07,378.63,92.99,115.51,329.68,624.02,630.41,372.36,384.53,361.77,1021.99,923.95,424.36,0.00
987.23,465.24,631.98,949.66,225.59,216.31,570.02,427.90,350.05,763.90,809.77,0.00,532.88,780.33,333.43,711.42,732.41,868.73,441.55,676.32,717.92,694.32,906.75,187.32,390.00,721.62,447.81,480.28,255.84,128.92,387.13,0.00
886.97,456.02,258.06,841.65,757.96,748.39,315.15,174.67,303.30,586.81,509.32,532.88,0.00,633.77,287.35,511.31,547.62,433.43,105.92,668.06,433.03,430.43,782.44,386.07,169.36,696.99,233.11,219.14,641.22,593.51,304.14,0.00
253.41,315.09,393.33,208.14,942.42,938.17,319.87,508.89,835.35,53.38,219.63,780.33,633.77,0.00,500.43,124.62,88.15,440.86,581.68,183.49,228.04,216.03,149.78,611.26,711.97,162.94,439.80,433.12,1021.01,906.05,435.92,0.00
739.75,218.11,300.87,696.81,547.36,539.52,239.20,121.42,347.25,470.60,484.35,333.43,287.35,500.43,0.00,405.95,433.90,537.42,182.39,459.19,391.41,370.46,644.24,146.76,252.41,498.57,115.84,149.62,538.46,440.70,64.80,0.00
376.09,258.83,268.75,330.79,892.99,887.58,200.53,396.08,727.21,75.51,142.20,711.42,511.31,124.62,405.95,0.00,36.62,344.06,465.04,242.90,110.65,93.31,271.28,531.94,598.72,244.51,329.51,318.14,940.23,832.45,341.48,0.00
339.57,273.14,305.18,294.26,908.54,903.46,235.79,429.67,759.77,39.60,156.52,732.41,547.62,88.15,433.90,36.62,0.00,368.93,499.82,222.14,142.81,128.40,234.84,555.63,632.64,218.25,362.20,352.27,965.06,855.04,369.15,0.00
643.11,523.89,236.82,603.16,1084.70,1076.92,321.43,446.18,731.66,389.82,222.12,868.73,433.43,440.86,537.42,344.06,368.93,0.00,464.46,586.83,240.13,267.18,547.55,683.88,591.36,587.07,421.70,388.61,1041.21,964.86,493.91,0.00
834.12,366.10,248.45,789.12,667.07,657.85,264.69,80.53,277.37,539.39,492.07,441.55,105.92,581.68,182.39,465.04,499.82,464.46,0.00,591.22,405.77,396.22,731.44,283.67,138.34,624.05,149.51,148.78,579.42,515.61,206.28,0.00
312.70,241.62,471.37,278.59,808.36,805.55,366.48,511.12,806.35,215.22,378.63,676.32,668.06,183.49,459.19,242.90,222.14,586.83,591.22,0.00,349.36,325.64,246.68,532.34,702.98,45.46,441.85,449.48,928.91,805.19,402.30,0.00
469.33,304.20,177.09,424.74,916.16,909.71,154.32,348.81,679.76,174.85,92.99,717.92,433.03,228.04,391.41,110.65,142.81,240.13,405.77,349.36,0.00,29.11,364.85,531.73,543.78,354.35,292.21,270.66,929.00,831.28,331.80,0.00
463.09,275.46,179.36,418.07,890.42,884.10,137.37,335.30,667.58,163.97,115.51,694.32,430.43,216.03,370.46,93.31,128.40,267.18,396.22,325.64,29.11,0.00,358.13,508.80,533.43,333.06,275.52,256.47,908.79,809.10,309.52,0.00
105.01,445.96,537.41,59.96,1052.15,1048.91,469.38,658.30,983.08,195.91,329.68,906.75,782.44,149.78,644.24,271.28,234.84,547.55,731.44,246.68,364.85,358.13,0.00,746.31,861.25,204.35,588.89,582.84,1153.56,1034.49,580.39,0.00
834.29,300.51,447.14,793.93,401.54,393.47,382.78,251.37,317.21,589.36,624.02,187.32,386.07,611.26,146.76,531.94,555.63,683.88,283.67,532.34,531.73,508.80,746.31,0.00,283.73,576.07,262.19,295.43,410.02,301.13,200.18,0.00
962.44,466.12,385.39,917.83,609.95,599.94,399.70,203.15,141.09,672.04,630.41,390.00,169.36,711.97,252.41,598.72,632.64,591.36,138.34,702.98,543.78,533.43,861.25,283.73,0.00,739.34,272.42,280.60,472.49,432.73,301.55,0.00
267.29,282.34,489.40,233.69,853.24,850.52,389.50,544.53,845.80,203.40,372.36,721.62,696.99,162.94,498.57,244.51,218.25,587.07,624.05,45.46,354.35,333.06,204.35,576.07,739.34,0.00,474.56,479.79,973.96,850.47,440.11,0.00
690.05,222.96,185.04,645.41,663.20,655.32,138.28,70.53,397.71,401.27,384.53,447.81,233.11,439.80,115.84,329.51,362.20,421.70,149.51,441.85,292.21,275.52,588.89,262.19,272.42,474.56,0.00,34.36,640.16,550.25,86.54,0.00
685.36,241.72,151.79,640.38,696.75,688.80,119.98,78.96,411.60,391.75,361.77,480.28,219.14,433.12,149.62,318.14,352.27,388.61,148.78,449.48,270.66,256.47,582.84,295.43,280.60,479.79,34.36,0.00,667.56,580.57,119.16,0.00
1237.76,708.04,811.77,1198.94,284.53,275.78,775.25,598.31,358.08,999.24,1021.99,255.84,641.22,1021.01,538.46,940.23,965.06,1041.21,579.42,928.91,929.00,908.79,1153.56,410.02,472.49,973.96,640.16,667.56,0.00,130.04,600.97,0.00
1115.86,591.22,730.09,1078.03,203.24,192.92,679.90,518.76,350.27,887.63,923.95,128.92,593.51,906.05,440.70,832.45,855.04,964.86,515.61,805.19,831.28,809.10,1034.49,301.13,432.73,850.47,550.25,580.57,130.04,0.00,499.62,0.00
676.75,164.86,260.84,633.51,593.70,586.43,183.13,129.48,406.94,405.80,424.36,387.13,304.14,435.92,64.80,341.48,369.15,493.91,206.28,402.30,331.80,309.52,580.39,200.18,301.55,440.11,86.54,119.16,600.97,499.62,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
