# instance,rnd-n15-s1
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
15,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3338.95
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,1798.81,1083.13,4.1168,263.10
2,786.37,556.81,1.8052,308.45
3,2635.76,1789.43,5.8692,304.89
4,1015.61,656.73,2.0880,314.52
5,2221.59,1596.16,5.4495,292.90
6,1812.83,1324.26,4.2759,309.71
7,2613.49,1763.92,5.9216,297.88
8,1548.00,1066.02,3.3167,321.40
9,2111.69,1533.26,3.5207,435.50
10,2782.46,1942.96,5.5479,350.21
11,1451.29,1078.98,3.1439,343.20
12,2568.35,1629.69,5.8121,280.40
13,1913.92,1373.36,3.7448,366.74
14,2669.83,1711.17,4.9460,345.97
15,1263.70,815.09,2.2745,358.35
# distance matrix (nm), rows/cols 0..n+1
0.00,534.31,642.40,45.32,1119.40,1116.92,573.27,759.91,1081.82,300.82,429.46,987.23,886.97,253.41,739.75,376.09,0.00
534.31,0.00,327.21,493.54,635.41,630.32,213.57,286.01,564.92,301.17,383.35,465.24,456.02,315.09,218.11,258.83,0.00
642.40,327.21,0.00,597.34,848.24,840.36,115.11,213.49,525.63,342.46,251.52,631.98,258.06,393.33,300.87,268.75,0.00
45.32,493.54,597.34,0.00,1086.91,1084.14,528.00,715.16,1037.95,255.55,387.36,949.66,841.65,208.14,696.81,330.79,0.00
1119.40,635.41,848.24,1086.91,0.00,10.43,775.69,650.11,546.91,935.36,1005.33,225.59,757.96,942.42,547.36,892.99,0.00
1116.92,630.32,840.36,1084.14,10.43,0.00,768.63,641.55,536.50,930.58,999.11,216.31,748.39,938.17,539.52,887.58,0.00
573.27,213.57,115.11,528.00,775.69,768.63,0.00,198.93,531.57,275.38,247.07,570.02,315.15,319.87,239.20,200.53,0.00
759.91,286.01,213.49,715.16,650.11,641.55,198.93,0.00,332.65,469.01,439.13,427.90,174.67,508.89,121.42,396.08,0.00
1081.82,564.92,525.63,1037.95,546.91,536.50,531.57,332.65,0.00,798.67,768.06,350.05,303.30,835.35,347.25,727.21,0.00
300.82,301.17,342.46,255.55,935.36,930.58,275.38,469.01,798.67,0.00,170.32,763.90,586.81,53.38,470.60,75.51,0.00
429.46,383.35,251.52,387.36,1005.33,999.11,247.07,439.13,768.06,170.32,0.00,809.77,509.32,219.63,484.35,142.20,0.00
987.23,465.24,631.98,949.66,225.59,216.31,570.02,427.90,350.05,763.90,809.77,0.00,532.88,780.33,333.43,711.42,0.00
886.97,456.02,258.06,841.65,757.96,748.39,315.15,174.67,303.30,586.81,509.32,532.88,0.00,633.77,287.35,511.31,0.00
253.41,315.09,393.33,208.14,942.42,938.17,319.87,508.89,835.35,53.38,219.63,780.33,633.77,0.00,500.43,124.62,0.00
739.75,218.11,300.87,696.81,547.36,539.52,239.20,121.42,347.25,470.60,484.35,333.43,287.35,500.43,0.00,405.95,0.00
376.09,258.83,268.75,330.79,892.99,887.58,200.53,396.08,727.21,75.51,142.20,711.42,511.31,124.62,405.95,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
