# instance,rnd-n8-s5
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
8,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3246.10
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,2469.23,1603.92,5.4075,296.61
2,1993.31,1226.77,3.9678,309.18
3,644.37,444.71,1.2008,370.34
4,1276.49,797.92,2.7728,287.77
5,1480.08,948.00,2.7487,344.89
6,513.47,331.94,1.1705,283.58
7,639.99,458.64,1.1922,384.70
8,2705.09,1975.03,5.1673,382.22
# distance matrix (nm), rows/cols 0..n+1
0.00,216.23,651.57,912.65,1023.39,1210.72,295.81,544.25,1253.50,0.00
216.23,0.00,464.15,739.34,840.33,1032.51,182.45,421.77,1090.28,0.00
651.57,464.15,0.00,280.65,376.19,568.72,369.51,238.60,634.78,0.00
912.65,739.34,280.65,0.00,126.47,298.56,618.75,401.01,354.13,0.00
1023.39,840.33,376.19,126.47,0.00,194.44,732.69,525.02,287.69,0.00
1210.72,1032.51,568.72,298.56,194.44,0.00,917.26,694.46,136.72,0.00
295.81,182.45,369.51,618.75,732.69,917.26,0.00,254.08,957.69,0.00
544.25,421.77,238.60,401.01,525.02,694.46,254.08,0.00,717.84,0.00
1253.50,1090.28,634.78,354.13,287.69,136.72,957.69,717.84,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
