# instance,rnd-n30-s6
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,4211.93
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,3168.06,2380.67,5.4775,434.63
2,954.11,741.00,1.6022,462.50
3,1161.25,739.41,2.2254,332.26
4,1654.56,1112.53,4.0456,275.00
5,1612.54,1279.19,3.1910,400.88
6,3126.71,2442.07,5.9713,408.97
7,2069.57,1534.94,5.1240,299.56
8,1451.65,1088.90,3.0705,354.63
9,614.16,389.21,1.3012,299.12
10,3509.94,2730.41,5.8526,466.53
11,2759.69,1854.31,4.6457,399.14
12,1268.78,809.43,2.7692,292.30
13,1637.21,1191.67,3.0476,391.02
14,2476.85,1526.91,4.1370,369.08
15,1673.06,1236.72,3.5200,351.34
16,1976.47,1243.44,3.4811,357.19
17,1114.24,855.77,2.2671,377.47
18,1412.53,991.20,2.8760,344.65
19,1032.97,680.93,1.9729,345.13
20,859.21,545.53,1.5815,344.95
21,866.24,559.48,1.9182,291.67
22,2079.87,1252.95,3.9634,316.13
23,1195.25,928.32,2.3717,391.42
24,1751.68,1255.74,2.9327,428.18
25,2337.85,1529.23,5.0650,301.92
26,1357.29,858.97,3.1169,275.59
27,1167.98,830.13,2.1487,386.34
28,1980.00,1231.18,3.7355,329.59
29,879.92,569.08,1.5355,370.62
30,855.61,568.75,1.8438,308.46
# distance matrix (nm), rows/cols 0..n+1
0.00,724.60,216.12,921.20,1113.17,1280.00,752.93,1238.49,728.81,967.00,738.97,409.69,601.61,585.76,429.43,728.02,908.46,489.18,137.68,210.45,781.38,729.64,1199.86,557.12,885.91,985.28,348.34,1060.69,311.80,1048.04,1120.21,0.00
724.60,0.00,546.36,263.53,388.62,600.52,127.92,514.55,27.61,335.24,248.30,574.95,422.13,162.29,493.15,521.69,289.02,538.38,597.73,519.81,168.48,100.13,506.61,202.76,303.21,351.00,527.04,343.97,517.63,328.65,453.34,0.00
216.12,546.36,0.00,717.06,929.64,1073.25,553.94,1051.76,545.36,758.22,527.16,227.66,387.64,393.46,223.09,519.75,699.95,293.09,82.65,67.12,578.28,572.56,997.02,414.29,674.73,776.36,147.96,889.90,104.25,857.76,913.16,0.00
921.20,263.53,717.06,0.00,283.93,359.69,172.65,374.30,241.17,74.49,209.14,661.60,437.87,341.43,584.22,461.63,56.61,595.43,785.17,710.81,139.87,345.55,280.01,460.24,102.21,88.33,646.42,324.59,655.11,192.56,201.56,0.00
1113.17,388.62,929.64,283.93,0.00,319.64,389.23,127.59,385.32,314.24,479.35,918.61,710.71,536.43,837.68,745.47,337.14,861.42,985.11,907.31,381.90,404.93,225.17,575.12,384.10,309.97,888.64,111.15,887.96,91.39,264.90,0.00
1280.00,600.52,1073.25,359.69,319.64,0.00,531.47,264.76,584.07,315.96,549.82,992.80,755.15,700.71,921.37,725.44,373.66,917.01,1143.42,1069.80,499.38,657.60,100.54,803.28,403.77,298.19,990.85,430.38,1004.74,304.07,160.09,0.00
752.93,127.92,553.94,172.65,389.23,531.47,0.00,504.12,100.31,233.31,128.30,530.09,337.44,169.29,448.76,413.62,178.86,477.21,618.27,542.58,43.07,227.63,447.34,298.43,182.33,251.02,500.11,381.00,501.95,308.59,374.17,0.00
1238.49,514.55,1051.76,374.30,127.59,264.76,504.12,0.00,509.76,383.40,580.73,1028.75,811.49,658.34,948.98,829.76,420.50,966.96,1109.23,1031.60,490.95,532.32,197.80,702.69,466.14,373.76,1003.96,218.21,1005.81,195.52,281.01,0.00
728.81,27.61,545.36,241.17,385.32,584.07,100.31,509.76,0.00,311.70,221.61,563.01,401.83,155.02,480.94,497.51,263.95,523.04,599.81,522.05,141.05,127.59,491.74,220.57,276.62,327.86,518.57,348.48,511.48,320.27,434.40,0.00
967.00,335.24,758.22,74.49,314.24,315.96,233.31,383.40,311.70,0.00,233.97,681.64,448.26,397.40,607.88,447.63,58.57,609.52,829.83,757.49,194.45,419.60,251.44,528.27,90.69,18.35,675.61,374.13,688.81,225.71,156.49,0.00
738.97,248.30,527.16,209.14,479.35,549.82,128.30,580.73,221.61,233.97,0.00,452.74,231.56,206.92,376.32,287.22,177.43,386.63,601.32,531.65,106.73,347.84,482.09,377.34,147.66,251.64,441.94,491.46,454.94,390.65,390.44,0.00
409.69,574.95,227.66,661.60,918.61,992.80,530.09,1028.75,563.01,681.64,452.74,0.00,240.08,414.26,82.16,332.69,628.07,86.51,301.70,287.28,538.06,635.74,932.70,519.18,591.25,698.18,86.82,906.16,131.39,834.63,836.76,0.00
601.61,422.13,387.64,437.87,710.71,755.15,337.44,811.49,401.83,448.26,231.56,240.08,0.00,290.11,179.70,147.13,397.88,161.91,470.08,419.32,331.80,507.63,699.58,454.62,357.61,463.95,260.06,716.90,290.49,622.20,601.15,0.00
585.76,162.29,393.46,341.43,536.43,700.71,169.29,658.34,155.02,397.40,206.92,414.26,290.11,0.00,333.01,415.09,340.09,383.85,452.82,376.04,203.42,225.77,616.18,178.47,330.83,415.59,364.77,503.48,356.49,464.79,542.95,0.00
429.43,493.15,223.09,584.22,837.68,921.37,448.76,948.98,480.94,607.88,376.32,82.16,179.70,333.01,0.00,298.67,553.04,79.37,304.87,269.66,458.04,555.83,858.01,446.50,518.12,624.84,81.80,824.09,119.36,754.40,763.86,0.00
728.02,521.69,519.75,461.63,745.47,725.44,413.62,829.76,497.51,447.63,287.22,332.69,147.13,415.09,298.67,0.00,410.45,246.33,602.24,558.38,393.45,615.98,688.11,588.70,364.03,459.44,379.75,772.71,417.47,654.15,584.81,0.00
908.46,289.02,699.95,56.61,337.14,373.66,178.86,420.50,263.95,58.57,177.43,628.07,397.88,340.09,553.04,410.45,0.00,558.02,771.33,698.92,138.28,378.84,304.97,476.43,46.96,76.89,619.36,381.17,631.59,245.88,213.71,0.00
