# instance,rnd-n30-s4
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3788.47
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,2119.07,1626.27,5.1446,316.11
2,1599.89,1057.32,3.1824,332.24
3,2274.49,1535.48,4.1866,366.76
4,1228.65,903.49,2.2448,402.49
5,2033.99,1403.08,5.0238,279.28
6,486.64,296.16,1.0828,273.51
7,969.25,602.40,1.7411,345.99
8,3157.06,2204.20,5.8996,373.62
9,2545.37,1775.16,4.8331,367.29
10,3058.76,1986.65,5.6869,349.34
11,1969.28,1514.38,3.6974,409.58
12,796.06,530.99,1.4890,356.60
13,1070.52,807.60,1.8615,433.83
14,2448.02,1805.22,4.6706,386.50
15,1224.91,828.12,2.5201,328.60
16,1440.98,1061.69,2.4571,432.09
17,1191.56,898.15,2.3588,380.77
18,2276.63,1708.52,3.9150,436.40
19,2045.97,1294.32,3.4818,371.74
20,1508.31,1205.48,3.7252,323.60
21,2485.51,1771.82,4.4776,395.71
22,2204.33,1636.58,4.0270,406.40
23,430.76,271.64,1.0422,260.65
24,2160.34,1528.86,4.7296,323.25
25,2898.04,2266.12,5.0409,449.55
26,1905.98,1196.31,3.6593,326.92
27,1461.91,928.12,2.6849,345.68
28,2724.10,1655.77,4.9154,336.85
29,614.62,379.61,1.5016,252.81
30,2551.58,1588.68,4.7255,336.19
# distance matrix (nm), rows/cols 0..n+1
0.00,1113.29,819.41,567.51,986.31,1232.91,156.16,1155.93,272.84,1001.47,534.02,920.81,1078.20,309.57,716.06,693.71,749.74,285.50,463.46,1139.77,460.01,435.42,767.68,203.98,736.45,866.22,620.67,936.95,544.47,952.99,679.56,0.00
1113.29,0.00,301.98,1130.75,135.13,347.93,1075.22,44.22,858.30,313.21,858.77,192.83,42.84,1030.39,567.50,421.40,421.99,831.05,943.84,36.44,745.28,686.34,355.50,1012.72,485.55,278.20,492.70,262.58,571.33,459.94,586.98,0.00
819.41,301.98,0.00,924.45,197.31,544.22,796.75,341.94,576.63,365.73,654.28,114.53,263.06,775.41,416.04,127.51,250.97,542.93,721.43,333.26,502.81,407.34,139.40,738.96,329.83,177.61,207.43,259.19,290.83,454.10,417.27,0.00
567.51,1130.75,924.45,0.00,998.41,1076.04,412.33,1173.68,487.78,879.59,273.41,974.40,1112.73,269.44,566.54,815.01,711.47,540.71,208.02,1141.44,430.71,574.67,801.38,385.24,645.28,854.43,738.37,876.76,664.44,758.17,544.09,0.00
986.31,135.13,197.31,998.41,0.00,358.34,942.79,179.29,727.29,232.78,725.75,84.36,114.71,895.42,438.66,301.71,287.87,702.30,809.52,155.19,610.18,555.60,222.25,879.54,354.33,144.13,366.63,149.45,442.21,365.90,455.85,0.00
1232.91,347.93,544.22,1076.04,358.34,0.00,1151.96,353.35,960.26,231.45,831.88,440.08,380.18,1062.19,542.46,617.24,485.25,951.76,931.34,318.29,790.89,803.03,501.02,1083.21,499.49,398.38,656.58,311.39,710.30,318.50,576.31,0.00
156.16,1075.22,796.75,412.33,942.79,1151.96,0.00,1119.06,220.24,922.80,395.23,886.85,1044.00,154.71,616.75,669.34,680.98,259.94,315.03,1097.98,361.41,390.52,720.54,69.29,652.82,811.12,589.80,871.73,507.23,855.25,580.82,0.00
1155.93,44.22,341.94,1173.68,179.29,353.35,1119.06,0.00,901.90,345.42,901.99,235.12,78.89,1074.61,609.58,463.23,465.72,874.19,987.54,40.68,789.47,729.93,399.60,1056.71,528.40,322.02,535.55,302.61,614.67,493.34,629.71,0.00
272.84,858.30,576.63,487.78,727.29,960.26,220.24,901.90,0.00,728.88,329.81,668.47,826.01,241.84,447.75,449.17,478.29,53.72,304.18,882.27,199.01,171.97,505.57,167.08,463.75,600.20,369.98,667.09,287.98,682.40,411.43,0.00
1001.47,313.21,365.73,879.59,232.78,231.45,922.80,345.42,728.88,0.00,621.33,289.25,320.49,839.30,322.99,408.76,254.61,720.48,717.95,305.43,562.75,572.13,286.47,854.39,270.10,193.30,435.83,106.55,482.83,148.28,354.23,0.00
534.02,858.77,654.28,273.41,725.75,831.88,395.23,901.99,329.81,621.33,0.00,701.07,839.85,257.72,300.31,550.19,438.34,371.04,100.94,870.62,184.36,343.35,528.55,332.49,374.22,581.65,477.38,608.20,410.87,514.98,274.23,0.00
920.81,192.83,114.53,974.40,84.36,440.08,886.85,235.12,668.47,289.25,701.07,0.00,157.77,850.89,430.29,228.63,266.86,639.48,778.37,221.69,569.07,496.66,175.44,825.85,342.31,138.13,300.60,188.77,380.62,404.91,441.09,0.00
