# instance,rnd-n30-s8
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,4043.48
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,2145.13,1714.86,4.4790,382.87
2,694.46,437.03,1.3427,325.48
3,1822.52,1370.14,3.1091,440.68
4,1544.93,1021.58,3.6432,280.41
5,1490.27,1017.70,3.6896,275.83
6,654.28,434.23,1.3059,332.52
7,2299.85,1796.63,4.9752,361.12
8,716.34,569.01,1.5578,365.27
9,826.98,516.66,1.8969,272.37
10,2217.90,1758.06,5.3554,328.28
11,737.91,563.14,1.8007,312.73
12,1915.23,1388.83,3.9286,353.51
13,2023.75,1229.35,4.4895,273.83
14,3299.19,2571.10,5.7378,448.10
15,2801.89,2100.85,5.5204,380.56
16,2292.61,1724.28,5.4089,318.78
17,1353.71,981.76,2.5421,386.20
18,3369.57,2183.27,5.9931,364.30
19,773.34,602.78,1.4995,401.98
20,1590.94,1157.95,3.0127,384.36
21,2583.71,1671.23,4.5965,363.59
22,2461.89,1532.48,4.1543,368.89
23,1461.64,1079.41,3.3832,319.05
24,1913.39,1318.96,3.3234,396.87
25,2004.98,1278.40,4.9926,256.06
26,2332.45,1439.78,4.7441,303.48
27,2052.70,1402.26,3.7574,373.20
28,915.77,714.16,2.2753,313.88
29,690.84,524.64,1.4337,365.93
30,2699.40,1993.31,5.4889,363.15
# distance matrix (nm), rows/cols 0..n+1
0.00,744.29,1096.53,909.16,974.91,1150.25,1156.25,1150.73,753.90,1093.04,983.35,245.05,150.14,581.34,521.01,224.63,744.76,671.02,623.62,778.70,884.16,992.70,143.57,585.94,467.92,870.76,417.99,802.42,449.72,495.97,891.70,0.00
744.29,0.00,405.49,174.34,431.75,411.07,439.23,422.41,436.58,349.05,363.32,669.15,640.31,495.45,719.63,634.86,412.74,537.22,488.33,277.78,154.32,249.08,640.10,504.64,278.71,172.90,456.58,445.11,741.09,343.10,189.74,0.00
1096.53,405.49,0.00,242.05,246.38,178.75,88.41,122.35,476.40,224.52,151.89,957.36,967.84,649.96,892.41,935.76,464.16,628.63,616.87,343.08,364.83,273.48,970.30,654.60,660.65,237.79,719.53,442.29,946.84,613.11,416.22,0.00
909.16,174.34,242.05,0.00,345.35,241.09,265.73,248.15,454.05,191.14,248.70,810.13,795.94,572.37,813.64,780.31,433.03,587.45,552.64,279.24,135.83,119.43,796.71,579.98,449.32,78.89,581.63,443.19,849.62,466.10,194.24,0.00
974.91,431.75,246.38,345.35,0.00,417.56,334.47,367.05,259.11,440.03,108.15,795.95,832.38,450.73,680.43,783.72,254.82,407.80,411.26,205.07,478.24,440.83,836.74,452.87,605.23,281.51,564.67,215.39,744.74,479.82,537.51,0.00
1150.25,411.07,178.75,241.09,417.56,0.00,108.47,62.36,620.78,82.71,313.14,1044.44,1035.64,774.78,1019.81,1016.67,604.65,769.38,747.36,462.82,305.87,184.95,1036.65,780.94,689.06,289.69,811.26,594.04,1065.13,697.39,338.22,0.00
1156.25,439.23,88.41,265.73,334.47,108.47,0.00,46.16,562.47,177.11,239.46,1028.72,1032.44,731.93,975.60,1004.95,549.35,714.34,700.20,421.59,366.92,256.64,1034.37,736.98,708.04,286.07,791.61,529.60,1027.76,682.00,410.28,0.00
1150.73,422.41,122.35,248.15,367.05,62.36,46.16,0.00,584.03,133.64,266.61,1032.33,1030.67,746.92,991.60,1006.79,569.49,734.78,717.05,434.68,336.63,221.26,1032.22,752.48,696.26,280.81,796.51,553.91,1040.81,684.76,376.22,0.00
753.90,436.58,476.40,454.05,259.11,620.78,562.47,584.03,0.00,614.92,325.18,551.98,605.47,194.24,422.12,546.26,23.95,152.40,153.02,175.19,553.14,572.59,611.13,195.29,476.84,375.26,335.99,49.38,485.68,285.49,606.87,0.00
1093.04,349.05,224.52,191.14,440.03,82.71,177.11,133.64,614.92,0.00,332.00,1001.15,984.40,753.69,997.47,970.92,596.53,758.36,730.08,447.13,229.32,107.61,984.84,760.65,627.55,255.73,772.53,594.11,1037.14,657.11,257.25,0.00
