# instance,rnd-n30-s10
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3285.35
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,2143.26,1679.10,4.8118,348.95
2,1952.48,1454.77,4.7626,305.46
3,648.24,462.48,1.1479,402.90
4,2644.15,2110.81,5.4440,387.73
5,936.50,736.42,1.8567,396.63
6,687.02,437.04,1.1943,365.92
7,1710.89,1199.94,3.3582,357.32
8,2227.85,1439.75,3.7287,386.13
9,1956.10,1488.75,3.3650,442.42
10,2628.08,1895.06,5.5211,343.24
11,1295.35,862.81,2.7491,313.85
12,2141.15,1490.42,5.2088,286.13
13,2343.55,1830.15,5.6755,322.46
14,2339.62,1540.32,5.2042,295.98
15,755.27,462.93,1.5203,304.51
16,580.59,374.16,1.4330,261.10
17,1271.38,940.19,2.4504,383.68
18,2337.70,1868.29,4.9541,377.12
19,2254.14,1366.09,4.9907,273.73
20,2737.79,2090.39,5.8689,356.18
21,934.19,728.53,2.0370,357.64
22,2331.67,1591.27,4.0907,389.00
23,2463.21,1686.19,4.7127,357.80
24,788.06,550.47,1.5265,360.61
25,2449.42,1738.55,5.0167,346.55
26,1706.96,1062.54,4.2017,252.88
27,1756.81,1333.42,3.2212,413.96
28,633.49,502.89,1.0954,459.11
29,653.96,515.67,1.4676,351.36
30,1084.28,846.31,2.6072,324.60
# distance matrix (nm), rows/cols 0..n+1
0.00,370.58,656.74,474.08,865.10,1189.51,817.31,1264.61,957.92,1043.83,1251.42,689.13,726.20,887.80,1040.46,985.80,613.74,451.36,324.99,940.10,210.79,202.37,613.23,865.87,594.78,1010.91,1158.04,846.63,1056.21,605.94,272.19,0.00
370.58,0.00,403.34,142.62,541.37,823.53,484.92,894.13,650.35,681.02,884.27,349.10,363.34,518.07,670.56,654.23,288.56,145.27,46.58,576.91,294.95,220.50,287.44,499.04,232.93,644.09,788.56,477.15,687.42,282.11,198.35,0.00
656.74,403.34,0.00,480.09,734.99,813.85,237.10,811.98,852.78,716.81,856.65,203.57,308.83,528.89,639.78,806.88,559.74,258.12,417.87,633.25,462.68,454.87,169.72,550.98,443.40,517.81,745.60,430.58,575.12,558.27,384.85,0.00
474.08,142.62,480.09,0.00,403.74,719.56,493.68,807.55,509.75,571.78,782.72,363.05,334.78,430.19,581.03,520.09,148.33,243.66,181.01,468.91,433.86,356.12,328.28,400.02,131.79,587.67,695.41,415.58,622.43,141.37,340.68,0.00
865.10,541.37,734.99,403.74,0.00,416.22,604.16,553.11,118.59,277.90,479.62,539.18,440.02,295.35,365.85,122.24,255.72,590.12,583.46,223.36,836.09,759.49,568.03,243.31,326.68,486.56,436.51,379.84,481.96,263.03,738.20,0.00
1189.51,823.53,813.85,719.56,416.22,0.00,592.15,153.85,427.44,150.43,65.05,622.44,527.76,312.32,174.40,326.71,599.18,800.44,870.11,250.76,1099.67,1036.66,692.26,324.50,594.74,319.33,84.12,390.91,267.96,606.97,992.50,0.00
817.31,484.92,237.10,493.68,604.16,592.15,0.00,577.11,713.87,514.97,629.45,136.06,178.76,340.86,421.53,646.84,508.09,367.14,518.52,448.75,650.27,619.31,204.57,378.37,397.99,283.91,518.62,238.04,341.29,510.10,553.47,0.00
1264.61,894.13,811.98,807.55,553.11,153.85,577.11,0.00,577.16,275.42,117.77,639.91,560.32,378.30,226.53,475.03,703.76,846.97,940.11,356.11,1152.33,1096.62,717.00,409.00,677.07,294.19,118.70,425.50,237.00,711.15,1045.33,0.00
957.92,650.35,852.78,509.75,118.59,427.44,713.87,577.16,0.00,315.76,484.86,655.54,554.78,389.38,424.91,102.79,361.88,706.69,690.71,297.85,943.62,865.55,686.32,341.34,442.96,567.23,468.65,482.80,552.68,368.54,848.37,0.00
1043.83,681.02,716.81,571.78,277.90,150.43,514.97,275.42,315.76,0.00,215.32,516.45,414.49,189.89,120.14,213.74,448.87,670.08,727.52,104.11,963.25,897.25,578.40,186.03,449.70,284.77,158.73,286.47,253.71,456.68,856.72,0.00
1251.42,884.27,856.65,782.72,479.62,65.05,629.45,117.77,484.86,215.32,0.00,670.07,578.90,369.44,223.58,385.85,663.81,856.29,930.83,314.48,1157.45,1095.80,742.28,385.61,656.86,349.02,111.11,441.20,293.68,671.59,1050.15,0.00
689.13,349.10,203.57,363.05,539.18,622.44,136.06,639.91,655.54,516.45,670.07,0.00,105.27,327.18,448.28,604.86,397.46,237.87,383.69,430.19,534.12,495.04,80.40,347.45,281.53,351.17,560.22,232.62,405.74,398.10,432.31,0.00
726.20,363.34,308.83,334.78,440.02,527.76,178.76,560.32,554.78,414.49,578.90,105.27,0.00,224.61,355.38,500.61,330.40,288.27,405.16,325.62,594.05,543.70,164.92,242.31,224.40,285.84,471.17,137.75,334.73,332.80,487.89,0.00
887.80,518.07,528.89,430.19,295.35,312.32,340.86,378.30,389.38,189.89,369.44,327.18,224.61,0.00,152.68,310.45,340.26,488.16,564.42,108.02,788.03,726.75,388.64,53.45,299.07,198.30,270.50,103.14,210.21,346.89,680.75,0.00
1040.46,670.56,639.78,581.03,365.85,174.40,421.53,226.53,424.91,120.14,223.58,448.28,355.38,152.68,0.00,325.93,480.31,634.02,716.84,145.35,936.86,877.50,519.15,183.22,450.70,167.42,118.70,217.78,133.59,487.51,829.52,0.00
985.80,654.23,806.88,520.09,122.24,326.71,646.84,475.03,102.79,213.74,385.85,604.86,500.61,310.45,325.93,0.00,373.60,689.49,697.68,209.29,949.09,873.99,645.92,268.48,430.32,475.15,365.87,410.10,456.21,381.19,848.75,0.00
