# instance,rnd-n8-s7
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
8,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,2721.72
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,2154.90,1427.84,4.8535,294.19
2,2243.62,1544.16,5.3333,289.53
3,1519.69,1093.37,3.6130,302.62
4,2268.10,1739.63,4.7414,366.90
5,1624.46,1271.29,3.3171,383.25
6,805.07,514.71,1.5470,332.71
7,2111.32,1595.53,4.0412,394.81
8,600.04,472.12,1.1972,394.36
# distance matrix (nm), rows/cols 0..n+1
0.00,918.17,1154.55,475.88,1162.44,1256.02,971.70,635.41,662.27,0.00
918.17,0.00,288.78,467.31,385.23,443.33,67.94,336.38,519.78,0.00
1154.55,288.78,0.00,680.43,147.84,163.53,220.84,523.27,615.25,0.00
475.88,467.31,680.43,0.00,688.17,780.82,511.32,159.65,274.86,0.00
1162.44,385.23,147.84,688.17,0.00,96.88,322.17,528.93,563.37,0.00
1256.02,443.33,163.53,780.82,96.88,0.00,376.40,621.23,659.98,0.00
971.70,67.94,220.84,511.32,322.17,376.40,0.00,369.29,530.50,0.00
635.41,336.38,523.27,159.65,528.93,621.23,369.29,0.00,227.69,0.00
662.27,519.78,615.25,274.86,563.37,659.98,530.50,227.69,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
