# instance,rnd-n10-s7
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
10,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3426.23
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,740.66,521.81,1.5170,343.98
2,787.26,590.18,1.5155,389.43
3,1677.71,1162.12,2.9589,392.75
4,1889.38,1174.97,3.2431,362.30
5,1761.73,1271.35,4.0100,317.05
6,2256.76,1371.86,4.0611,337.80
7,2071.54,1389.14,3.5301,393.51
8,2855.19,2145.39,5.8399,367.37
9,1223.04,817.03,2.7100,301.49
10,1862.82,1190.28,3.8642,308.03
# distance matrix (nm), rows/cols 0..n+1
0.00,918.17,1154.55,475.88,1162.44,1256.02,971.70,635.41,662.27,319.97,1129.20,0.00
918.17,0.00,288.78,467.31,385.23,443.33,67.94,336.38,519.78,622.02,286.74,0.00
1154.55,288.78,0.00,680.43,147.84,163.53,220.84,523.27,615.25,839.71,42.14,0.00
475.88,467.31,680.43,0.00,688.17,780.82,511.32,159.65,274.86,159.54,653.86,0.00
1162.44,385.23,147.84,688.17,0.00,96.88,322.17,528.93,563.37,842.59,117.16,0.00
1256.02,443.33,163.53,780.82,96.88,0.00,376.40,621.23,659.98,936.47,156.59,0.00
971.70,67.94,220.84,511.32,322.17,376.40,0.00,369.29,530.50,668.92,219.87,0.00
635.41,336.38,523.27,159.65,528.93,621.23,369.29,0.00,227.69,317.28,495.38,0.00
662.27,519.78,615.25,274.86,563.37,659.98,530.50,227.69,0.00,364.90,577.53,0.00
319.97,622.02,839.71,159.54,842.59,936.47,668.92,317.28,364.90,0.00,812.58,0.00
1129.20,286.74,42.14,653.86,117.16,156.59,219.87,495.38,577.53,812.58,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
