# instance,rnd-n8-s4
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
8,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3493.58
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,1447.59,949.74,2.6305,361.05
2,1207.60,907.92,2.1506,422.18
3,2839.21,2001.10,4.9069,407.81
4,590.04,410.69,1.2571,326.70
5,2844.43,2023.94,5.5329,365.80
6,2236.28,1437.71,3.8588,372.58
7,1124.22,827.61,2.6167,316.28
8,2911.32,1917.01,5.6822,337.37
# distance matrix (nm), rows/cols 0..n+1
0.00,1113.29,819.41,567.51,986.31,1232.91,156.16,1155.93,272.84,0.00
1113.29,0.00,301.98,1130.75,135.13,347.93,1075.22,44.22,858.30,0.00
819.41,301.98,0.00,924.45,197.31,544.22,796.75,341.94,576.63,0.00
567.51,1130.75,924.45,0.00,998.41,1076.04,412.33,1173.68,487.78,0.00
986.31,135.13,197.31,998.41,0.00,358.34,942.79,179.29,727.29,0.00
1232.91,347.93,544.22,1076.04,358.34,0.00,1151.96,353.35,960.26,0.00
156.16,1075.22,796.75,412.33,942.79,1151.96,0.00,1119.06,220.24,0.00
1155.93,44.22,341.94,1173.68,179.29,353.35,1119.06,0.00,901.90,0.00
272.84,858.30,576.63,487.78,727.29,960.26,220.24,901.90,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
