# instance,rnd-n30-s7
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3938.14
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,1391.87,1057.06,2.8111,376.03
2,1313.65,944.19,2.3923,394.69
3,3038.72,2297.01,5.7060,402.56
4,1503.89,1058.55,3.1452,336.57
5,1869.31,1386.18,4.1074,337.48
6,499.68,397.15,1.0270,386.70
7,1648.63,1123.69,3.4326,327.36
8,1000.37,724.41,1.9850,364.93
9,1838.22,1407.29,3.0671,458.83
10,3281.79,2014.04,5.7698,349.07
11,2349.92,1458.05,4.1716,349.52
12,1056.88,795.30,2.1291,373.53
13,2755.44,1766.61,4.9546,356.56
14,878.46,682.52,1.9038,358.50
15,1753.68,1065.59,3.0201,352.84
16,1416.60,967.47,2.9691,325.85
17,2398.39,1585.09,4.8129,329.34
18,1481.56,927.59,3.3955,273.18
19,1515.31,1130.28,2.7274,414.42
20,1257.94,902.03,2.6533,339.96
21,2868.01,1948.43,5.6979,341.95
22,2141.74,1440.16,3.9952,360.47
23,2350.19,1653.68,4.2069,393.09
24,701.57,499.72,1.3312,375.39
25,1323.04,817.68,2.5530,320.29
26,1958.87,1234.59,3.3881,364.39
27,2674.89,1799.68,4.9168,366.02
28,989.62,707.40,1.8255,387.52
29,897.73,567.54,1.5185,373.74
30,1320.44,981.98,3.2847,298.96
# distance matrix (nm), rows/cols 0..n+1
0.00,918.17,1154.55,475.88,1162.44,1256.02,971.70,635.41,662.27,319.97,1129.20,775.88,332.48,937.79,1076.14,646.04,166.26,358.65,783.30,161.49,1163.89,1231.83,978.44,522.54,810.47,445.88,1007.73,666.17,405.27,992.91,241.06,0.00
918.17,0.00,288.78,467.31,385.23,443.33,67.94,336.38,519.78,622.02,286.74,524.73,772.22,80.06,227.37,389.46,757.22,655.39,177.28,833.88,256.52,344.10,172.05,627.66,313.81,682.65,89.58,649.06,540.52,247.26,723.11,0.00
1154.55,288.78,0.00,680.43,147.84,163.53,220.84,523.27,615.25,839.71,42.14,563.31,947.97,231.38,78.49,537.20,988.72,844.06,372.09,1046.04,104.29,84.11,176.34,761.98,385.87,835.46,229.15,724.96,753.58,185.77,935.26,0.00
475.88,467.31,680.43,0.00,688.17,780.82,511.32,159.65,274.86,159.54,653.86,378.26,314.04,471.87,601.94,186.12,309.62,193.73,312.55,369.52,697.78,759.37,504.09,247.12,342.29,257.79,555.24,364.07,74.18,517.22,258.04,0.00
1162.44,385.23,147.84,688.17,0.00,96.88,322.17,528.93,563.37,842.59,117.16,488.51,920.60,310.61,163.71,520.18,996.58,828.30,406.76,1038.62,252.08,198.10,223.70,719.79,355.64,799.52,350.05,655.76,757.22,175.53,931.03,0.00
1256.02,443.33,163.53,780.82,96.88,0.00,376.40,621.23,659.98,936.47,156.59,582.92,1017.38,375.94,216.36,615.72,1089.93,924.36,490.88,1134.12,253.93,168.56,298.21,816.62,451.65,896.40,391.53,750.34,850.78,264.19,1026.04,0.00
971.70,67.94,220.84,511.32,322.17,376.40,0.00,369.29,530.50,668.92,219.87,520.56,808.38,50.58,161.35,411.61,808.84,694.21,204.53,880.43,194.33,277.71,122.78,650.98,309.46,711.72,58.42,657.12,585.35,200.20,769.08,0.00
635.41,336.38,523.27,159.65,528.93,621.23,369.29,0.00,227.69,317.28,495.38,293.97,439.12,325.17,444.89,80.70,469.17,326.35,164.82,522.92,547.59,603.55,347.21,296.32,190.60,346.41,419.14,352.64,231.07,357.58,412.01,0.00
662.27,519.78,615.25,274.86,563.37,659.98,530.50,227.69,0.00,364.90,577.53,114.50,369.02,480.26,544.52,147.98,510.27,303.69,345.43,513.74,672.37,699.29,459.56,159.06,232.24,242.22,587.63,130.21,302.81,429.49,421.61,0.00
319.97,622.02,839.71,159.54,842.59,936.47,668.92,317.28,364.90,0.00,812.58,478.91,202.88,630.63,761.22,326.85,155.02,104.93,471.92,211.87,856.83,918.87,663.38,261.00,490.74,218.38,710.86,408.11,86.22,673.97,101.51,0.00
1129.20,286.74,42.14,653.86,117.16,156.59,219.87,495.38,577.53,812.58,0.00,522.85,914.97,221.01,60.46,504.75,963.07,813.03,349.88,1017.13,140.85,122.88,152.37,726.08,349.96,800.74,238.68,685.39,726.36,148.63,906.81,0.00
775.88,524.73,563.31,378.26,488.51,582.92,520.56,293.97,114.50,478.91,522.85,0.00,474.56,470.31,500.22,216.34,624.76,417.25,364.95,625.45,634.44,645.67,428.28,262.71,211.77,346.62,578.99,167.43,413.89,381.21,535.57,0.00
