# instance,rnd-n20-s5
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
20,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,3713.32
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,1280.71,1024.37,2.3692,432.36
2,1413.27,1090.45,3.3784,322.77
3,1896.09,1454.82,3.8025,382.59
4,776.72,494.67,1.9147,258.36
5,2346.35,1850.74,5.4336,340.61
6,1565.61,1119.11,3.8987,287.05
7,571.55,376.72,1.0294,365.96
8,2426.29,1744.26,4.2164,413.68
9,970.69,647.15,2.4088,268.66
10,2882.18,1769.01,4.8500,364.74
11,800.95,638.84,1.4130,452.10
12,2131.62,1290.79,4.8658,265.28
13,552.50,421.00,1.3081,321.83
14,1025.70,771.91,1.8269,422.52
15,2435.58,1519.71,5.1578,294.65
16,1008.52,790.84,2.3495,336.60
17,1782.60,1228.09,3.6733,334.33
18,1836.02,1457.72,3.5476,410.91
19,3094.43,2199.34,5.3210,413.33
20,2735.79,1798.78,5.8499,307.49
# distance matrix (nm), rows/cols 0..n+1
0.00,216.23,651.57,912.65,1023.39,1210.72,295.81,544.25,1253.50,365.54,861.02,326.20,1020.05,559.08,464.48,932.04,494.74,579.74,1021.60,1036.55,824.28,0.00
216.23,0.00,464.15,739.34,840.33,1032.51,182.45,421.77,1090.28,245.75,664.91,131.94,818.85,356.53,261.11,750.06,323.44,364.96,820.38,882.52,665.71,0.00
651.57,464.15,0.00,280.65,376.19,568.72,369.51,238.60,634.78,315.91,213.22,455.73,376.88,129.22,415.03,286.05,536.89,325.56,378.43,443.26,236.16,0.00
912.65,739.34,280.65,0.00,126.47,298.56,618.75,401.01,354.13,553.14,172.82,736.25,245.85,407.00,685.72,59.70,803.18,574.54,246.80,179.85,115.74,0.00
1023.39,840.33,376.19,126.47,0.00,194.44,732.69,525.02,287.69,669.63,199.08,822.95,169.65,492.95,755.72,91.37,866.44,631.07,169.89,203.05,241.74,0.00
1210.72,1032.51,568.72,298.56,194.44,0.00,917.26,694.46,136.72,851.62,390.07,1017.38,303.24,687.26,948.53,282.72,1057.20,820.96,302.52,241.68,399.66,0.00
295.81,182.45,369.51,618.75,732.69,917.26,0.00,254.08,957.69,71.50,582.65,281.96,745.76,304.44,368.82,641.42,466.64,416.11,747.31,741.10,528.49,0.00
544.25,421.77,238.60,401.01,525.02,694.46,254.08,0.00,717.84,182.66,423.06,481.19,582.98,278.63,509.44,437.95,630.03,481.54,584.45,496.93,295.04,0.00
1253.50,1090.28,634.78,354.13,287.69,136.72,957.69,717.84,0.00,888.60,485.24,1090.34,427.76,760.61,1035.12,360.34,1149.27,915.59,427.26,222.62,429.23,0.00
365.54,245.75,315.91,553.14,669.63,851.62,71.50,182.66,888.60,0.00,528.42,328.59,692.51,271.96,394.70,578.70,502.85,417.54,694.06,671.01,459.71,0.00
861.02,664.91,213.22,172.82,199.08,390.07,582.65,423.06,485.24,528.42,0.00,633.63,164.23,309.21,558.57,132.54,667.68,432.04,165.77,348.73,232.05,0.00
326.20,131.94,455.73,736.25,822.95,1017.38,281.96,481.19,1090.34,328.59,633.63,0.00,775.05,330.69,138.48,736.32,192.66,265.70,776.52,895.32,680.67,0.00
1020.05,818.85,376.88,245.85,169.65,303.24,745.76,582.98,427.76,692.51,164.23,775.05,0.00,462.64,683.90,186.20,781.47,546.37,1.56,371.90,348.80,0.00
559.08,356.53,129.22,407.00,492.95,687.26,304.44,278.63,760.61,271.96,309.21,330.69,462.64,0.00,286.56,405.68,409.32,212.22,464.18,572.42,364.27,0.00
464.48,261.11,415.03,685.72,755.72,948.53,368.82,509.44,1035.12,394.70,558.57,138.48,683.90,286.56,0.00,675.08,124.11,143.12,685.28,856.58,650.78,0.00
932.04,750.06,286.05,59.70,91.37,282.72,641.42,437.95,360.34,578.70,132.54,736.32,186.20,405.68,675.08,0.00,788.96,555.94,187.17,218.25,168.21,0.00
494.74,323.44,536.89,803.18,866.44,1057.20,466.64,630.03,1149.27,502.85,667.68,192.66,781.47,409.32,124.11,788.96,0.00,236.58,782.76,976.37,773.01,0.00
579.74,364.96,325.56,574.54,631.07,820.96,416.11,481.54,915.59,417.54,432.04,265.70,546.37,212.22,143.12,555.94,236.58,0.00,547.70,751.34,558.04,0.00
1021.60,820.38,378.43,246.80,169.89,302.52,747.31,584.45,427.26,694.06,165.77,776.52,1.56,464.18,685.28,187.17,782.76,547.70,0.00,372.25,349.95,0.00
1036.55,882.52,443.26,179.85,203.05,241.68,741.10,496.93,222.62,671.01,348.73,895.32,371.90,572.42,856.58,218.25,976.37,751.34,372.25,0.00,216.89,0.00
824.28,665.71,236.16,115.74,241.74,399.66,528.49,295.04,429.23,459.71,232.05,680.67,348.80,364.27,650.78,168.21,773.01,558.04,349.95,216.89,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
